file name,X start,Y start,X end,Y end,,,
"BAAKEY32_(182,284).BMP.bmp",2400,2528,2419,2539,,,
"BAAKEY33_(182,284).BMP.bmp",2419,2528,2438,2539,,,
"BAAKEY34_(182,284).BMP.bmp",2421,2539,2442,2560,,,
"BAAKEY35_(182,284).BMP.bmp",2438,2528,2457,2539,,,
"BAAKEY36_(182,284).BMP.bmp",2400,2539,2421,2560,,,
"BABLUM_(12,30).BMP.bmp",2400,2601,2421,2621,,,
"BABLUM_BLUE_(12,30).BMP.bmp",2421,2601,2441,2621,,,
"BABLUM_RED_(12,30).BMP.bmp",2441,2601,2461,2621,,,
"BAKEY32A_(182,284).BMP.bmp",2463,2555,2484,2568,,,
"BAKEY32_(182,284).BMP.bmp",2463,2568,2484,2581,,,
"BALLMUSIC_(12,30).BMP.bmp",2400,2560,2421,2580,,,
"BALLMUSIC_BLUE_(12,30).BMP.bmp",2420,2560,2441,2580,,,
"BALLMUSIC_RED_(12,30).BMP.bmp",2441,2560,2462,2580,,,
"BBATTC0_(0,0).BMP.bmp",2860,2402,2880,2414,,,
"BBATTC1_(0,0).BMP.bmp",2860,2414,2880,2426,,,
"BBATTC2_(0,0).BMP.bmp",2860,2426,2880,2438,,,
"BBATTC3_(0,0).BMP.bmp",2860,2438,2880,2450,,,
"BBATTC4_(0,0).BMP.bmp",2860,2450,2880,2462,,,
"BBREAKPOINT_PLAY_(12,30).BMP.bmp",2400,2580,2421,2601,,,
"BBREAKPOINT_PLAY_BLUE_(12,30).BMP.bmp",2421,2580,2441,2600,,,
"BBREAKPOINT_PLAY_RED_(12,30).BMP.bmp",2441,2580,2461,2600,,,
"BBROWSER_BACKGROUND_(0,0).BMP.bmp",1600,2232,1920,2402,,,
"BBROWSER_FILETYPE_FOLDER_(12,30).BMP.bmp",2400,2621,2413,2634,,,
"BBROWSER_FILETYPE_FOLDER_BLUE_(12,30).BMP.bmp",2413,2621,2427,2634,,,
"BBROWSER_FILETYPE_FOLDER_RED_(12,30).BMP.bmp",2427,2621,2441,2634,,,
"BBROWSER_FILETYPE_MUSIC_(12,30).BMP.bmp",2400,2634,2414,2650,,,
"BBROWSER_FILETYPE_MUSIC_BLUE_(12,30).BMP.bmp",2414,2634,2428,2650,,,
"BBROWSER_FILETYPE_MUSIC_RED_(12,30).BMP.bmp",2428,2634,2442,2650,,,
"BBROWSER_FILETYPE_OTHER_(12,30).BMP.bmp",2398,2706,2410,2720,,,
"BBROWSER_FILETYPE_OTHER_BLUE_(12,30).BMP.bmp",2410,2706,2422,2720,,,
"BBROWSER_FILETYPE_OTHER_RED_(12,30).BMP.bmp",2422,2706,2434,2720,,,
"BBROWSER_FILETYPE_PICTURE_(12,30).BMP.bmp",2434,2706,2446,2720,,,
"BBROWSER_FILETYPE_PICTURE_BLUE_(12,30).BMP.bmp",2446,2706,2458,2720,,,
"BBROWSER_FILETYPE_PICTURE_RED_(12,30).BMP.bmp",2458,2706,2470,2720,,,
"BBROWSER_FILETYPE_TEXT_(12,30).BMP.bmp",2470,2706,2482,2720,,,
"BBROWSER_FILETYPE_TEXT_BLUE_(12,30).BMP.bmp",2482,2706,2494,2720,,,
"BBROWSER_FILETYPE_TEXT_RED_(12,30).BMP.bmp",2494,2706,2506,2720,,,
"BBROWSER_FILETYPE_VIDEO_(12,30).BMP.bmp",2399,2560,2420,2581,,,
"BBROWSER_FILETYPE_VIDEO_BLUE_(12,30).BMP.bmp",2420,2560,2440,2580,,,
"BBROWSER_FILETYPE_VIDEO_RED_(12,30).BMP.bmp",2440,2560,2460,2580,,,
"BBTOFF_(132,3).BMP.bmp",2484,2555,2495,2567,,,
"BBTOK_(132,3).BMP.bmp",2495,2555,2506,2567,,,
"BBTON_(132,3).BMP.bmp",2506,2555,2517,2567,,,
"BCARDHAVE_(0,0).BMP.bmp",2513,2581,2522,2592,,,
"BCARDNO_(0,0).BMP.bmp",2504,2581,2513,2592,,,
"BDIALOGBOX_BACKGROUND_(0,40).BMP.bmp",2160,2544,2400,2644,,,
"BDIALOGBOX_BUTTONNO_(26,106).BMP.bmp",2160,2644,2348,2672,,,
"BDIALOGBOX_BUTTONYES_(26,106).BMP.bmp",2160,2644,2348,2672,,,
"BEARHAVE_(0,0).BMP.bmp",2499,2567,2514,2581,,,
"BEARNO_(0,0).BMP.bmp",2484,2567,2499,2581,,,
"BFILE_NUMBER_UP00_(0,0).BMP.bmp",2462,2592,2469,2602,,,
"BFILE_NUMBER_UP01_(0,0).BMP.bmp",2469,2592,2476,2602,,,
"BFILE_NUMBER_UP02_(0,0).BMP.bmp",2476,2592,2483,2602,,,
"BFILE_NUMBER_UP03_(0,0).BMP.bmp",2483,2592,2490,2602,,,
"BFILE_NUMBER_UP04_(0,0).BMP.bmp",2490,2592,2497,2602,,,
"BFILE_NUMBER_UP05_(0,0).BMP.bmp",2462,2602,2469,2612,,,
"BFILE_NUMBER_UP06_(0,0).BMP.bmp",2469,2602,2476,2612,,,
"BFILE_NUMBER_UP07_(0,0).BMP.bmp",2476,2602,2483,2612,,,
"BFILE_NUMBER_UP08_(0,0).BMP.bmp",2483,2602,2490,2612,,,
"BFILE_NUMBER_UP09_(0,0).BMP.bmp",2490,2602,2497,2612,,,
"BFILE_NUMBER_UP10_(0,0).BMP.bmp",2497,2592,2501,2601,,,
"BFILE_NUMBER_UP11_(0,0).BMP.bmp",2497,2602,2499,2611,,,
"BFM_FREGUAGE_(0,0).BMP.bmp",2501,2594,2502,2596,,,
"BFM_FREGUAGE_BK_(0,0).BMP.bmp",2502,2594,2503,2596,,,
