file name,X start,Y start,X end,Y end,,,
"CSTYLE_(0,0).BMP.bmp",3180,2188,3200,2212,,,
"C_AAKEY32_(182,284).BMP.bmp",2398,1780,2416,1792,,,
"C_AAKEY33_(182,284).BMP.bmp",2416,1780,2434,1792,,,
"C_AAKEY34_(182,284).BMP.bmp",2419,1792,2440,1811,,,
"C_AAKEY35_(182,284).BMP.bmp",2434,1780,2452,1792,,,
"C_AAKEY36_(182,284).BMP.bmp",2398,1792,2419,1811,,,
"C_ABLUM_(12,30).BMP.bmp",2398,1852,2419,1872,,,
"C_ABLUM_BLUE_(12,30).BMP.bmp",2419,1852,2439,1872,,,
"C_ABLUM_RED_(12,30).BMP.bmp",2439,1852,2459,1872,,,
"C_AKEY32A_(182,284).BMP.bmp",2461,1805,2482,1818,,,
"C_AKEY32_(182,284).BMP.bmp",2461,1818,2482,1831,,,
"C_ALLMUSIC_(12,30).BMP.bmp",2398,1811,2418,1831,,,
"C_ALLMUSIC_BLUE_(12,30).BMP.bmp",2418,1811,2439,1831,,,
"C_ALLMUSIC_RED_(12,30).BMP.bmp",2439,1811,2460,1831,,,
"C_BATTC0_(0,0).BMP.bmp",2861,1652,2880,1664,,,
"C_BATTC1_(0,0).BMP.bmp",2861,1664,2880,1676,,,
"C_BATTC2_(0,0).BMP.bmp",2861,1676,2880,1688,,,
"C_BATTC3_(0,0).BMP.bmp",2861,1688,2880,1700,,,
"C_BATTC4_(0,0).BMP.bmp",2861,1700,2880,1712,,,
"C_BREAKPOINT_PLAY_(12,30).BMP.bmp",2398,1831,2419,1852,,,
"C_BREAKPOINT_PLAY_BLUE_(12,30).BMP.bmp",2419,1831,2439,1851,,,
"C_BREAKPOINT_PLAY_RED_(12,30).BMP.bmp",2439,1831,2459,1851,,,
"C_BROWSER_BACKGROUND_(0,0).BMP.bmp",1600,1482,1920,1652,,,
"C_BROWSER_FILETYPE_FOLDER_(12,30).BMP.bmp",2398,1872,2412,1885,,,
"C_BROWSER_FILETYPE_FOLDER_BLUE_(12,30).BMP.bmp",2412,1872,2426,1885,,,
"C_BROWSER_FILETYPE_FOLDER_RED_(12,30).BMP.bmp",2426,1872,2440,1885,,,
"C_BROWSER_FILETYPE_MUSIC_(12,30).BMP.bmp",2398,1885,2412,1901,,,
"C_BROWSER_FILETYPE_MUSIC_BLUE_(12,30).BMP.bmp",2412,1885,2426,1901,,,
"C_BROWSER_FILETYPE_MUSIC_RED_(12,30).BMP.bmp",2426,1885,2440,1901,,,
"C_BROWSER_FILETYPE_OTHER_(12,30).BMP.bmp",2398,1956,2410,1970,,,
"C_BROWSER_FILETYPE_OTHER_BLUE_(12,30).BMP.bmp",2410,1956,2422,1970,,,
"C_BROWSER_FILETYPE_OTHER_RED_(12,30).BMP.bmp",2422,1956,2434,1970,,,
"C_BROWSER_FILETYPE_PICTURE_(12,30).BMP.bmp",2434,1956,2446,1970,,,
"C_BROWSER_FILETYPE_PICTURE_BLUE_(12,30).BMP.bmp",2446,1956,2458,1970,,,
"C_BROWSER_FILETYPE_PICTURE_RED_(12,30).BMP.bmp",2458,1956,2470,1970,,,
