File name,X start,Y Start,X End,Y end,,,
"DSTYLE_(0,0).BMP.bmp",3180,1438,3200,1462,,,
"D_AAKEY32_(182,284).BMP.bmp",2398,1030,2416,1042,,,
"D_AAKEY33_(182,284).BMP.bmp",2416,1030,2434,1042,,,
"D_AAKEY34_(182,284).BMP.bmp",2419,1042,2440,1061,,,
"D_AAKEY35_(182,284).BMP.bmp",2434,1030,2452,1042,,,
"D_AAKEY36_(182,284).BMP.bmp",2398,1042,2419,1061,,,
"D_ABLUM_(12,30).BMP.bmp",2398,1102,2418,1122,,,
"D_ABLUM_BLUE_(12,30).BMP.bmp",2418,1102,2438,1122,,,
"D_ABLUM_RED_(12,30).BMP.bmp",2438,1102,2458,1122,,,
"D_AKEY32A_(182,284).BMP.bmp",2461,1055,2482,1068,,,
"D_AKEY32_(182,284).BMP.bmp",2461,1068,2482,1081,,,
"D_ALLMUSIC_(12,30).BMP.bmp",2398,1061,2419,1081,,,
"D_ALLMUSIC_BLUE_(12,30).BMP.bmp",2419,1061,2440,1081,,,
"D_ALLMUSIC_RED_(12,30).BMP.bmp",2440,1061,2461,1081,,,
"D_BATTC0_(0,0).BMP.bmp",2861,902,2880,914,,,
"D_BATTC1_(0,0).BMP.bmp",2861,914,2880,926,,,
"D_BATTC2_(0,0).BMP.bmp",2861,926,2880,938,,,
"D_BATTC3_(0,0).BMP.bmp",2861,938,2880,950,,,
"D_BATTC4_(0,0).BMP.bmp",2861,950,2880,962,,,
"D_BREAKPOINT_PLAY_(12,30).BMP.bmp",2398,1081,2419,1102,,,
"D_BREAKPOINT_PLAY_BLUE_(12,30).BMP.bmp",2419,1081,2440,1102,,,
"D_BREAKPOINT_PLAY_RED_(12,30).BMP.bmp",2440,1081,2461,1102,,,
"D_BROWSER_BACKGROUND_(0,0).BMP.bmp",1600,732,1920,902,,,
"D_BROWSER_FILETYPE_FOLDER_(12,30).BMP.bmp",2398,1122,2412,1135,,,
"D_BROWSER_FILETYPE_FOLDER_BLUE_(12,30).BMP.bmp",2412,1122,2426,1135,,,
"D_BROWSER_FILETYPE_FOLDER_RED_(12,30).BMP.bmp",2426,1122,2440,1135,,,
