file name,X start,Y start,X end,Y end
"D_KEY55_(0,0).BMP.bmp",2632,393,2653,413
"D_KEY56_(0,0).BMP.bmp",2653,393,2673,412
"D_KEY57_(0,0).BMP.bmp",2632,413,2652,433
"D_KEY58_(0,0).BMP.bmp",2652,413,2671,432
"D_VOLNUM_00_(0,0).BMP.bmp",1679,660,1686,673
"D_VOLNUM_01_(0,0).BMP.bmp",1686,660,1693,673
"D_VOLNUM_02_(0,0).BMP.bmp",1693,660,1700,673
"D_VOLNUM_03_(0,0).BMP.bmp",1700,660,1707,673
"D_VOLNUM_04_(0,0).BMP.bmp",1707,660,1714,673
"D_VOLNUM_05_(0,0).BMP.bmp",1679,660,1686,673
"D_VOLNUM_06_(0,0).BMP.bmp",1686,673,1693,686
"D_VOLNUM_07_(0,0).BMP.bmp",1693,673,1700,686
"D_VOLNUM_08_(0,0).BMP.bmp",1700,673,1707,686
"D_VOLNUM_09_(0,0).BMP.bmp",1707,673,1714,686
"D_VOLNUM_L_(0,0).BMP.bmp",1714,660,1721,673
"D_VOLNUM_R_(0,0).BMP.bmp",1714,673,1722,686
"D_VOLNUM_X_(0,0).BMP.bmp",1920,170,2099,312
"D_VOLNUM_YY_(0,0).BMP.bmp",1686,686,1693,701
"D_VOLNUM_Y_(0,0).BMP.bmp",1679,686,1686,701
"D_VOLNUM_Z_(0,0).BMP.bmp",1693,686,1694,694
"ESTYLE_(0,0).BMP.bmp",3180,688,3200,712
"E_AAKEY32_(182,284).BMP.bmp",2398,298,2416,310
"E_AAKEY33_(182,284).BMP.bmp",2416,298,2434,310
"E_AAKEY34_(182,284).BMP.bmp",2419,310,2440,329
"E_AAKEY35_(182,284).BMP.bmp",2434,298,2452,309
"E_AAKEY36_(182,284).BMP.bmp",2398,310,2419,329
"E_ABLUM_(12,30).BMP.bmp",2398,370,2418,390
"E_ABLUM_BLUE_(12,30).BMP.bmp",2418,370,2438,390
"E_ABLUM_RED_(12,30).BMP.bmp",2438,370,2458,390
"E_AKEY32A_(182,284).BMP.bmp",2461,323,2482,336
"E_AKEY32_(182,284).BMP.bmp",2461,336,2482,349
"E_ALLMUSIC_(12,30).BMP.bmp",2398,329,2419,349
"E_ALLMUSIC_BLUE_(12,30).BMP.bmp",2419,329,2440,349
"E_ALLMUSIC_RED_(12,30).BMP.bmp",2440,329,2461,349
"E_BATTC0_(0,0).BMP.bmp",2861,170,2880,182
"E_BATTC1_(0,0).BMP.bmp",2861,182,2880,194
"E_BATTC2_(0,0).BMP.bmp",2861,194,2880,206
"E_BATTC3_(0,0).BMP.bmp",2861,206,2880,218
"E_BATTC4_(0,0).BMP.bmp",2861,218,2880,230
"E_BREAKPOINT_PLAY_(12,30).BMP.bmp",2398,349,2419,370
"E_BREAKPOINT_PLAY_BLUE_(12,30).BMP.bmp",2419,349,2440,370
"E_BREAKPOINT_PLAY_RED_(12,30).BMP.bmp",2440,349,2461,370
"E_BROWSER_BACKGROUND_(0,0).BMP.bmp",1600,0,1920,170
"E_BROWSER_FILETYPE_FOLDER_(12,30).BMP.bmp",2398,390,2412,403
"E_BROWSER_FILETYPE_FOLDER_BLUE_(12,30).BMP.bmp",2412,390,2426,403
"E_BROWSER_FILETYPE_FOLDER_RED_(12,30).BMP.bmp",2426,390,2440,403
"E_BROWSER_FILETYPE_MUSIC_(12,30).BMP.bmp",2398,403,2412,419
"E_BROWSER_FILETYPE_MUSIC_BLUE_(12,30).BMP.bmp",2412,403,2426,419
"E_BROWSER_FILETYPE_MUSIC_RED_(12,30).BMP.bmp",2426,403,2440,419
"E_BROWSER_FILETYPE_OTHER_(12,30).BMP.bmp",2398,460,2410,474
"E_BROWSER_FILETYPE_OTHER_BLUE_(12,30).BMP.bmp",2410,460,2422,474
"E_BROWSER_FILETYPE_OTHER_RED_(12,30).BMP.bmp",2422,460,2434,474
"E_BROWSER_FILETYPE_PICTURE_(12,30).BMP.bmp",2434,460,2446,474
"E_BROWSER_FILETYPE_PICTURE_BLUE_(12,30).BMP.bmp",2446,460,2458,474
"E_BROWSER_FILETYPE_PICTURE_RED_(12,30).BMP.bmp",2458,460,2470,474
"E_BROWSER_FILETYPE_TEXT_(12,30).BMP.bmp",2470,460,2482,474
"E_BROWSER_FILETYPE_TEXT_BLUE_(12,30).BMP.bmp",2482,460,2494,474
"E_BROWSER_FILETYPE_TEXT_RED_(12,30).BMP.bmp",2494,460,2506,474
"E_BROWSER_FILETYPE_VIDEO_(12,30).BMP.bmp",2398,419,2419,440
"E_BROWSER_FILETYPE_VIDEO_BLUE_(12,30).BMP.bmp",2419,419,2440,440
"E_BROWSER_FILETYPE_VIDEO_RED_(12,30).BMP.bmp",2440,419,2461,440
"E_BTOFF_(132,3).BMP.bmp",2482,323,2493,335
"E_BTOK_(132,3).BMP.bmp",2493,323,2504,335
"E_BTON_(132,3).BMP.bmp",2504,323,2515,335
"E_CARDHAVE_(0,0).BMP.bmp",2512,349,2523,361
"E_CARDNO_(0,0).BMP.bmp",2501,349,2512,361
"E_DIALOGBOX_BACKGROUND_(0,40).BMP.bmp",2159,312,2398,412
"E_DIALOGBOX_BUTTONNO_(26,106).BMP.bmp",2159,412,2347,440
"E_DIALOGBOX_BUTTONYES_(26,106).BMP.bmp",2159,440,2347,468
"E_EARHAVE_(0,0).BMP.bmp",2497,335,2512,349
"E_EARNO_(0,0).BMP.bmp",2482,335,2497,349
"E_FILE_NUMBER_UP00_(0,0).BMP.bmp",2462,350,2469,360
"E_FILE_NUMBER_UP01_(0,0).BMP.bmp",2469,350,2476,360
"E_FILE_NUMBER_UP02_(0,0).BMP.bmp",2476,350,2483,360
"E_FILE_NUMBER_UP03_(0,0).BMP.bmp",2483,350,2490,360
"E_FILE_NUMBER_UP04_(0,0).BMP.bmp",2490,350,2497,360
"E_FILE_NUMBER_UP05_(0,0).BMP.bmp",2462,360,2469,370
"E_FILE_NUMBER_UP06_(0,0).BMP.bmp",2469,360,2476,370
"E_FILE_NUMBER_UP07_(0,0).BMP.bmp",2476,360,2483,370
"E_FILE_NUMBER_UP08_(0,0).BMP.bmp",2483,360,2490,370
"E_FILE_NUMBER_UP09_(0,0).BMP.bmp",2490,360,2497,370
"E_FILE_NUMBER_UP10_(0,0).BMP.bmp",2497,350,2501,359
"E_FILE_NUMBER_UP11_(0,0).BMP.bmp",2497,360,2499,369
"E_FM_FREGUAGE_(0,0).BMP.bmp",2500,363,2501,365
"E_FM_FREGUAGE_BK_(0,0).BMP.bmp",2501,363,2502,365
"E_GENRE_(12,30).BMP.bmp",2398,440,2418,460
"E_GENRE_BLUE_(12,30).BMP.bmp",2414,440,2434,460
"E_GENRE_RED_(12,30).BMP.bmp",2434,440,2454,460
"E_ICON_SEL1_(0,0).BMP.bmp",2473,370,2488,386
"E_ICON_SELBLUE_(0,0).BMP.bmp",2488,370,2503,386
"E_ICON_SEL_(0,0).BMP.bmp",2458,370,2473,386
"E_JEPG_ICON_(0,0).BMP.bmp",2503,361,2519,377
"E_KEY0_(8,126).BMP.bmp",2528,298,2547,317
"E_KEY10_(160,164).BMP.bmp",2528,397,2548,418
"E_KEY11_(198,164).BMP.bmp",2548,397,2568,418
"E_KEY12_(8,202).BMP.bmp",2528,418,2549,439
"E_KEY13_(46,202).BMP.bmp",2549,418,2570,439
"E_KEY14_(84,202).BMP.bmp",2528,439,2548,458
"E_KEY15_(122,202).BMP.bmp",2548,439,2568,458
"E_KEY16_(160,202).BMP.bmp",2572,298,2591,318
"E_KEY17_(198,202).BMP.bmp",2591,298,2611,318
"E_KEY18_(8,240).BMP.bmp",2572,318,2592,338
"E_KEY19_(46,240).BMP.bmp",2592,318,2612,338
"E_KEY1_(46,126).BMP.bmp",2547,298,2566,317
"E_KEY20_(84,240).BMP.bmp",2572,338,2588,353
"E_KEY21_(122,240).BMP.bmp",2588,338,2604,353
"E_KEY22_(160,240).BMP.bmp",2604,338,2607,342
"E_KEY23_(0,0).BMP.bmp",2572,353,2592,373
"E_KEY24_(0,0).BMP.bmp",2592,353,2612,373
"E_KEY25_(0,0).BMP.bmp",2572,373,2592,394
"E_KEY26_(0,0).BMP.bmp",2592,373,2611,394
"E_KEY27_(0,0).BMP.bmp",2572,394,2592,414
"E_KEY28_(0,0).BMP.bmp",2592,394,2612,414
"E_KEY29_(0,0).BMP.bmp",2612,394,2632,414
"E_KEY2_(84,126).BMP.bmp",2528,317,2548,336
"E_KEY30_(0,0).BMP.bmp",2572,414,2592,435
"E_KEY31_(0,0).BMP.bmp",2592,414,2612,435
"E_KEY32_(0,0).BMP.bmp",2572,435,2593,455
"E_KEY33_(0,0).BMP.bmp",2593,435,2614,455
"E_KEY3_(122,126).BMP.bmp",2548,317,2568,336
"E_KEY40_(0,0).BMP.bmp",2632,298,2683,309
"E_KEY41_(0,0).BMP.bmp",2632,309,2683,320
"E_KEY42_(0,0).BMP.bmp",2632,320,2683,331
"E_KEY43_(0,0).BMP.bmp",2632,331,2683,342
"E_KEY44_(0,0).BMP.bmp",2632,342,2683,353
"E_KEY4_(160,126).BMP.bmp",2528,336,2549,357
"E_KEY51_(0,0).BMP.bmp",2632,353,2652,373
"E_KEY52_(0,0).BMP.bmp",2652,353,2672,373
"E_KEY53_(0,0).BMP.bmp",2632,373,2653,393
"E_KEY54_(0,0).BMP.bmp",2653,373,2674,393
"E_KEY5_(198,126).BMP.bmp",2549,336,2570,357
"E_KEY6_(8,164).BMP.bmp",2528,357,2548,377
"E_KEY7_(46,164).BMP.bmp",2548,357,2568,377
"E_KEY8_(84,164).BMP.bmp",2528,377,2548,397
"E_KEY9_(122,164).BMP.bmp",2548,377,2568,397
"E_LIST_(12,30).BMP.bmp",2632,433,2652,453
"E_LIST_BLUE_(12,30).BMP.bmp",2652,433,2672,453
"E_LIST_RED_(12,30).BMP.bmp",2672,433,2692,453
"E_LOWPOWER_(0,120).BMP.bmp",1920,312,2159,412
"E_MAINMENUPAGE10_(0,0).BMP.bmp",0,0,320,170
"E_MAINMENUPAGE20_(0,0).BMP.bmp",320,0,640,170
