file name,X start,Y start,X end,Y end
"Z_POWERON0_(0,0).BMP.bmp",0,3720,320,3890
"Z_POWERON10_(0,0).BMP.bmp",0,3890,320,4060
"Z_POWERON11_(0,0).BMP.bmp",320,3890,640,4060
"Z_POWERON12_(0,0).BMP.bmp",640,3890,960,4060
"Z_POWERON13_(0,0).BMP.bmp",960,3890,1280,4060
"Z_POWERON14_(0,0).BMP.bmp",1280,3890,1600,4060
"Z_POWERON15_(0,0).BMP.bmp",1600,3890,1920,4060
"Z_POWERON16_(0,0).BMP.bmp",1920,3890,2240,4060
"Z_POWERON17_(0,0).BMP.bmp",2240,3890,2560,4060
"Z_POWERON18_(0,0).BMP.bmp",2560,3890,2880,4060
"Z_POWERON19_(0,0).BMP.bmp",2880,3890,3200,4060
"Z_POWERON1_(0,0).BMP.bmp",320,3720,640,3890
"Z_POWERON20_(0,0).BMP.bmp",0,4060,320,4230
"Z_POWERON21_(0,0).BMP.bmp",320,4060,640,4230
"Z_POWERON22_(0,0).BMP.bmp",640,4060,960,4230
"Z_POWERON23_(0,0).BMP.bmp",960,4060,1280,4230
"Z_POWERON24_(0,0).BMP.bmp",1280,4060,1600,4230
"Z_POWERON25_(0,0).BMP.bmp",1600,4060,1920,4230
"Z_POWERON26_(0,0).BMP.bmp",1920,4060,2240,4230
"Z_POWERON27_(0,0).BMP.bmp",2240,4060,2560,4230
"Z_POWERON28_(0,0).BMP.bmp",2560,4060,2880,4230
"Z_POWERON29_(0,0).BMP.bmp",2880,4060,3200,4230
"Z_POWERON2_(0,0).BMP.bmp",640,3720,960,3890
"Z_POWERON30_(0,0).BMP.bmp",0,4230,320,4400
"Z_POWERON31_(0,0).BMP.bmp",320,4230,640,4400
"Z_POWERON32_(0,0).BMP.bmp",640,4230,960,4400
"Z_POWERON33_(0,0).BMP.bmp",960,4230,1280,4400
"Z_POWERON34_(0,0).BMP.bmp",1280,4230,1600,4400
"Z_POWERON35_(0,0).BMP.bmp",1600,4230,1920,4400
"Z_POWERON36_(0,0).BMP.bmp",1920,4230,2240,4400
"Z_POWERON37_(0,0).BMP.bmp",2240,4230,2560,4400
"Z_POWERON38_(0,0).BMP.bmp",2560,4230,2880,4400
"Z_POWERON39_(0,0).BMP.bmp",2880,4230,3200,4400
"Z_POWERON3_(0,0).BMP.bmp",960,3720,1280,3890
"Z_POWERON4_(0,0).BMP.bmp",1280,3720,1600,3890
"Z_POWERON5_(0,0).BMP.bmp",1600,3720,1920,3890
"Z_POWERON6_(0,0).BMP.bmp",1920,3720,2240,3890
"Z_POWERON7_(0,0).BMP.bmp",2240,3720,2560,3890
"Z_POWERON8_(0,0).BMP.bmp",2560,3720,2880,3890
"Z_POWERON9_(0,0).BMP.bmp",2880,3720,3200,3890
