file name,X start,Y start,X end,Y end
"CKEY0_(4,52).BMP.bmp",640,4570,682,4626
"CKEY10_(122,160).BMP.bmp",850,4592,873,4605
"CKEY11_(181,160).BMP.bmp",850,4579,873,4592
"CKEY1_(63,52).BMP.bmp",682,4570,724,4626
"CKEY2_(122,52).BMP.bmp",724,4570,766,4626
"CKEY3_(181,52).BMP.bmp",766,4570,808,4626
"CKEY4_(4,106).BMP.bmp",808,4570,850,4626
"CKEY5_(63,106).BMP.bmp",640,4626,682,4682
"CKEY6_(122,106).BMP.bmp",682,4626,724,4682
"CKEY7_(181,106).BMP.bmp",724,4626,766,4682
"CKEY8_(4,160).BMP.bmp",766,4626,808,4682
"CKEY9_(63,160).BMP.bmp",808,4626,850,4682
"TIME_A_(0,0).BMP.bmp",850,4570,868,4579
"TIME_U_(0,0).BMP.bmp",868,4570,886,4579
