file name,X start,Y start,X end,Y end
"BKTIMEX_(0,0).BMP.bmp",320,4400,640,4570
"BKTIME_(0,0).BMP.bmp",0,4400,320,4570
"CHARGELEVEL0_(0,0).BMP.bmp",640,4400,960,4570
"CHARGELEVEL1_(0,0).BMP.bmp",960,4400,1280,4570
"CHARGELEVEL2_(0,0).BMP.bmp",1280,4400,1600,4570
"CHARGELEVEL3_(0,0).BMP.bmp",2600,4400,2920,4570
"CHARGELEVEL4_(0,0).BMP.bmp",2920,4400,3240,4570
"CHARGELEVEL5_(0,0).BMP.bmp",2239,4571,2240,4572
POWEROFF0_(0.0).BMP.bmp,2240,4400,2560,4570
"POWERON0_(0,0).BMP.bmp",2560,4400,2880,4570
"POWERON1_(0,0).BMP.bmp",2880,4400,3200,4570
"UPDATACH_(0,0).BMP  .bmp",0,4570,320,4740
"UPDATAEN_(0,0).BMP.bmp",320,4570,640,4740
